English,Singlish_Word_Phrase,Context_Usage,Sentiment Analysis
Welcome / Hello,Ayubowan,Greeting,Positive
Thank you,Istuti,Expression of gratitude,Positive
How are you?,Kohomada?,Casual greeting,Positive
I am fine.,Mama hodinn innawa.,Response to greeting,Positive
What is your name?,Oyaage nama mokakda?,Asking someone's name,Neutral
My name is...,Mage nama...,Introducing oneself,Neutral
Where are you going?,Oya koheda yanne?,Asking destination,Neutral
I am going home.,Mama gedara yanawa.,Stating destination,Neutral
How much is this?,Meka kiyada?,Asking price,Neutral
It is too expensive.,Meka gana wadi.,Negotiating price,Neutral
Can you give a discount?,Adubakaranna puluwanda?,Negotiating price,Neutral
Yes,Ow,Affirmation,Positive
No,Nae,Negation,Neutral
Please,Karunakara,Polite request,Positive
Excuse me / Sorry,Samawanna,Apologizing or getting attention,Neutral
Goodbye,Gihin ennam,Farewell,Positive
See you later,Nawata hamuwemu,Farewell,Positive
I don't know,Mama danne nae,Lack of knowledge,Neutral
Do you speak English?,Oya ingrisi katha karanawada?,Language barrier query,Neutral
Where is the restroom?,Wasi kiliya koheda thiyenne?,Asking for directions,Neutral
Help me,Mata udaw කරන්න (karanna),Emergency or assistance,Urgent
I am hungry,Mata badagini,Expressing hunger,Neutral
I am thirsty,Mata thariwasa (thibaha),Expressing thirst,Neutral
Water,Wathura,Common noun,Neutral
Food,Kema,Common noun,Neutral
Tea,Thee,Common noun,Neutral
Rice and Curry,Bath saha Curry,Common noun (Local cuisine),Neutral
Bus,Bus eka,Transportation,Neutral
Train,Kochi eka,Transportation,Neutral
Three-wheeler / Tuk-tuk,Trishaw eka,Transportation,Neutral
Where is the station?,Station eka koheda?,Asking for directions,Neutral
Stop here,Methana nawaththanna,Directing a driver,Neutral
Go straight,Kelinnama yanna,Directing a driver,Neutral
Turn left,Wamatha harenna,Directing a driver,Neutral
Turn right,Dakunata harenna,Directing a driver,Neutral
Slowly,Hemin,Speed instruction,Neutral
Fast,Ikmanata,Speed instruction,Neutral
Beautiful,Lassanai,Compliment,Positive
Good,Hodai,Approval,Positive
Bad,Narakai,Disapproval,Negative
Friend,Yaluwa,Relationship,Positive
Mother,Amma,Family,Positive
Father,Thaththa,Family,Positive
Brother,Aiya / Malli,Family (Older/Younger),Positive
Sister,Akka / Nangi,Family (Older/Younger),Positive
Today,Ada,Time reference,Neutral
Tomorrow,Heta,Time reference,Neutral
Yesterday,Iye,Time reference,Neutral
