source_text,target_text
Welcome / Hello,Ayubowan
Thank you,Istuti
How are you?,Kohomada?
I am fine.,Mama hodinn innawa.
What is your name?,Oyaage nama mokakda?
My name is...,Mage nama...
Where are you going?,Oya koheda yanne?
I am going home.,Mama gedara yanawa.
How much is this?,Meka kiyada?
It is too expensive.,Meka gana wadi.
Can you give a discount?,Adubakaranna puluwanda?
Yes,Ow
No,Nae
Please,Karunakara
Excuse me / Sorry,Samawanna
Goodbye,Gihin ennam
See you later,Nawata hamuwemu
I don't know,Mama danne nae
Do you speak English?,Oya ingrisi katha karanawada?
Where is the restroom?,Wasi kiliya koheda thiyenne?
Help me,Mata udaw කරන්න (karanna)
I am hungry,Mata badagini
I am thirsty,Mata thariwasa (thibaha)
Water,Wathura
Food,Kema
Tea,Thee
Rice and Curry,Bath saha Curry
Bus,Bus eka
Train,Kochi eka
Three-wheeler / Tuk-tuk,Trishaw eka
Where is the station?,Station eka koheda?
Stop here,Methana nawaththanna
Go straight,Kelinnama yanna
Turn left,Wamatha harenna
Turn right,Dakunata harenna
Slowly,Hemin
Fast,Ikmanata
Beautiful,Lassanai
Good,Hodai
Bad,Narakai
Friend,Yaluwa
Mother,Amma
Father,Thaththa
Brother,Aiya / Malli
Sister,Akka / Nangi
Today,Ada
Tomorrow,Heta
Yesterday,Iye
What time is it?,Weleki kiyada? / Welawa kiyada?
I like this,Mama mekata kamati
I don't like this,Mama mekata kamati nae
Can you help me?,Mata udaw karanna puluwanda?
Where can I buy this?,Meka kohenda ganna puluwan?
It's very hot today,Ada godak rathne (rasnei)
It's raining,Wahinawa
Are you ready?,Oya lasthida?
I am ready,Mama lasthidi
No problem / It's okay,Prashnayak nae
What happened?,Mokada unna? (mokada une?)
Nothing,Mokuth nae
Congratulations,Subha pathum
Happy Birthday,Subha upandinayak
Good morning,Subha udasanak
Good night,Subha rathriyak
What did you eat?,Mokada kewe?
I ate rice,Mama bath kewa
Come here,Methanata enna
Go there,Eheta yanna
Sit down,Waadi wenna
Stand up,Nagitinna
Wait a minute,Winadiyak inna
Let's go,Yamu
Take care,Parissamin inna
Safe journey,Subha gaman
"Awesome video brother, let's keep doing it!","Patta video eka brother, digatama karamu!"
"Oh my goodness, what a waste of time and money.",Aiyyo salli.. kaalaya thama aparade meka balala.
"This is superb, what is the background music track man?","Meka nam supiri, track eka mokakda mchan background eke?"
The editing of this video has a really great vibe.,Gathiyak thiyanawa video eke editing nam patta.
Subscribed to the channel today. Keep up the good work!,Ada channel eka subscribe kala. Digatama karagena yanna!
"Very valuable information, thank you for sharing this with us.","Godak watina thorathuru tikak, api ekka bedagaththata istuti."
Your voice and explanation are not clear at all.,Oyaage adahasa saha katha karana vidihanam poddakwath pahadili na.
"Waiting for the next episode, when will it be uploaded?",Ela mchan mawa next episode ekata palamuvenma kiyada enne?
"Be very careful with this, the items are not trustworthy.","Meka patta parissamen yanna bro, badu sure na."
